Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,Attrition
63,0.1,0.95,6,244,5,0,0,IT,medium,Yes
64,0.36,0.56,2,132,3,0,0,IT,medium,Yes
65,0.11,0.94,6,286,4,0,0,IT,medium,Yes
66,0.81,0.7,6,161,4,0,0,IT,medium,Yes
67,0.43,0.54,2,153,3,0,0,product_mng,medium,Yes
68,0.9,0.98,4,264,6,0,0,product_mng,medium,Yes
69,0.76,0.86,5,223,5,1,0,product_mng,medium,Yes
70,0.43,0.5,2,135,3,0,0,product_mng,medium,Yes
71,0.74,0.99,2,277,3,0,0,IT,medium,Yes
72,0.09,0.77,5,275,4,0,0,product_mng,medium,Yes
73,0.45,0.49,2,149,3,0,0,product_mng,high,Yes
74,0.09,0.87,7,295,4,0,0,product_mng,low,Yes
75,0.11,0.97,6,277,4,0,0,product_mng,medium,Yes
76,0.11,0.79,7,306,4,0,0,product_mng,medium,Yes
77,0.1,0.83,6,295,4,0,0,product_mng,medium,Yes
78,0.4,0.54,2,137,3,0,0,marketing,medium,Yes
79,0.43,0.56,2,157,3,0,0,sales,low,Yes
80,0.39,0.56,2,142,3,0,0,accounting,low,Yes
81,0.45,0.54,2,140,3,0,0,support,low,Yes
82,0.38,0.49,2,151,3,0,0,technical,low,Yes
83,0.79,0.59,4,139,3,0,1,management,low,Yes
84,0.84,0.85,4,249,6,0,0,marketing,low,Yes
85,0.11,0.77,6,291,4,0,0,marketing,low,Yes
86,0.11,0.87,6,305,4,0,0,marketing,low,Yes
87,0.17,0.84,5,232,3,0,0,sales,low,Yes
88,0.44,0.45,2,132,3,0,0,sales,low,Yes
89,0.37,0.57,2,130,3,0,0,sales,low,Yes
90,0.1,0.79,6,291,4,0,0,sales,low,Yes
91,0.4,0.5,2,130,3,0,0,sales,low,Yes
92,0.89,1,5,246,5,0,0,sales,low,Yes
93,0.42,0.48,2,143,3,0,0,sales,low,Yes
94,0.46,0.55,2,129,3,0,0,sales,low,Yes
95,0.09,0.83,6,255,4,0,0,sales,low,Yes
96,0.37,0.51,2,155,3,0,0,sales,low,Yes
97,0.1,0.77,6,265,4,0,0,sales,low,Yes
98,0.1,0.84,6,279,4,0,0,sales,low,Yes
99,0.11,0.97,6,284,4,0,0,sales,low,Yes
100,0.9,1,5,221,6,0,0,sales,medium,Yes
101,0.38,0.52,2,154,3,0,0,sales,medium,Yes
102,0.36,0.52,2,147,3,0,0,sales,medium,Yes
103,0.42,0.46,2,150,3,0,0,sales,medium,Yes
104,0.09,0.94,7,267,4,0,0,sales,medium,Yes
105,0.43,0.52,2,158,3,0,0,sales,medium,Yes
106,0.24,0.46,7,224,5,0,0,accounting,medium,Yes
107,0.91,1,4,257,5,0,0,accounting,medium,Yes
108,0.44,0.5,2,148,3,0,0,accounting,medium,Yes
109,0.71,0.87,3,177,4,0,0,hr,medium,Yes
110,0.4,0.49,2,155,3,0,0,hr,medium,Yes
111,0.43,0.47,2,144,3,0,0,hr,medium,Yes
112,0.09,0.85,6,289,4,0,0,hr,high,Yes
113,0.43,0.52,2,160,3,0,0,technical,low,Yes
114,0.9,0.96,4,258,5,0,0,technical,medium,Yes
115,0.84,1,5,234,5,0,0,technical,medium,Yes
116,0.37,0.48,2,137,3,0,0,technical,medium,Yes
117,0.86,0.68,5,263,2,0,0,technical,medium,Yes
118,0.11,0.84,6,251,4,0,0,technical,low,Yes
119,0.37,0.57,2,133,3,0,0,technical,low,Yes
120,0.4,0.46,2,132,3,0,0,technical,low,Yes
121,0.14,0.62,4,158,4,1,0,technical,low,Yes
122,0.4,0.46,2,135,3,0,0,technical,low,Yes
123,0.75,1,4,216,6,0,0,technical,low,Yes
124,0.11,0.84,6,300,5,1,0,support,low,Yes
125,0.46,0.49,2,138,3,0,0,support,low,Yes
126,0.11,0.92,6,260,4,0,0,support,low,Yes
127,0.38,0.49,2,132,3,0,0,support,low,Yes
128,0.7,0.89,3,183,5,0,0,support,low,Yes
129,0.09,0.82,6,250,4,0,0,support,low,Yes
130,0.37,0.45,2,151,3,0,0,support,low,Yes
131,0.1,0.83,6,292,4,0,0,support,low,Yes
132,0.38,0.57,2,140,3,0,0,support,low,Yes
133,0.9,1,5,221,5,0,0,support,low,Yes
134,0.44,0.51,2,138,3,0,0,support,low,Yes
135,0.36,0.5,2,132,3,0,0,technical,low,Yes
136,0.31,0.84,7,133,5,0,0,technical,low,Yes
137,0.1,0.84,6,283,4,1,0,technical,low,Yes
138,0.42,0.48,2,129,3,0,0,management,low,Yes
139,0.74,1,4,249,5,0,0,IT,low,Yes
140,0.73,0.87,5,257,5,0,0,IT,low,Yes
141,0.09,0.96,6,245,4,0,0,IT,low,Yes
142,0.45,0.53,2,155,3,0,0,IT,low,Yes
143,0.11,0.8,6,256,4,0,0,IT,low,Yes
144,0.37,0.47,2,152,3,0,0,product_mng,low,Yes
145,0.84,0.99,4,267,5,0,0,product_mng,low,Yes
146,0.41,0.46,2,151,3,0,0,product_mng,low,Yes
147,0.76,0.92,4,239,5,0,0,product_mng,low,Yes
148,0.11,0.87,6,306,4,0,0,IT,low,Yes
149,0.84,0.88,4,263,5,1,0,marketing,low,Yes
150,0.39,0.5,2,147,3,0,0,marketing,low,Yes
151,0.11,0.91,6,278,4,0,0,marketing,low,Yes
152,0.45,0.56,2,154,3,0,0,marketing,low,Yes
153,0.37,0.52,2,143,3,0,0,marketing,low,Yes
154,0.4,0.52,2,155,3,0,0,marketing,low,Yes
155,0.39,0.48,2,160,3,0,0,sales,low,Yes
156,0.11,0.8,6,304,4,0,0,accounting,low,Yes
157,0.83,1,5,240,5,0,0,support,low,Yes
158,0.11,0.92,6,305,4,0,0,technical,low,Yes
159,0.39,0.5,2,136,3,0,0,management,low,Yes
160,0.45,0.45,2,132,3,0,0,marketing,low,Yes
161,0.1,0.95,7,301,4,0,0,marketing,low,Yes
162,0.9,0.98,5,243,6,0,0,marketing,low,Yes
163,0.45,0.51,2,147,3,0,0,sales,low,Yes
164,0.79,0.89,5,239,5,0,0,sales,low,Yes
165,0.9,0.99,5,260,5,0,0,sales,low,Yes
166,0.11,0.84,7,296,4,0,0,sales,low,Yes
167,0.43,0.55,2,129,3,0,0,sales,low,Yes
168,0.31,0.54,5,132,5,0,0,sales,low,Yes
169,0.32,0.5,2,135,5,0,0,sales,low,Yes
170,0.45,0.57,2,158,3,0,0,sales,low,Yes
171,0.81,0.99,4,259,5,0,0,sales,low,Yes
172,0.41,0.46,2,160,3,0,1,sales,low,Yes
173,0.11,0.78,7,278,4,0,0,sales,low,Yes
174,0.1,0.88,6,284,4,0,0,sales,low,Yes
175,0.7,0.53,2,274,4,0,0,sales,low,Yes
176,0.54,0.74,4,164,2,0,0,sales,low,Yes
177,0.41,0.48,2,148,3,0,0,sales,low,Yes
178,0.38,0.5,2,140,3,0,0,sales,medium,Yes
179,0.37,0.51,2,127,3,0,0,sales,medium,Yes
180,0.11,0.85,6,308,5,0,0,sales,medium,Yes
181,0.4,0.47,2,146,3,0,0,sales,medium,Yes
182,0.1,0.84,6,261,4,0,0,accounting,medium,Yes
183,0.89,0.99,5,257,5,0,0,accounting,medium,Yes
184,0.11,0.8,6,285,4,0,0,accounting,medium,Yes
185,0.36,0.55,2,141,3,0,0,hr,medium,Yes
186,0.4,0.46,2,127,3,0,0,hr,medium,Yes
187,0.09,0.85,6,297,4,0,0,hr,medium,Yes
188,0.4,0.46,2,143,3,0,0,hr,medium,Yes
189,0.37,0.55,2,152,3,0,0,technical,medium,Yes
190,0.44,0.51,2,156,3,0,0,technical,high,Yes
191,0.09,0.8,7,283,5,0,0,technical,low,Yes
192,0.92,0.87,4,226,6,1,0,technical,medium,Yes
193,0.74,0.91,4,232,5,0,0,technical,medium,Yes
194,0.09,0.82,6,249,4,0,0,technical,medium,Yes
195,0.89,0.95,4,275,5,0,0,technical,medium,Yes
196,0.09,0.8,6,304,4,0,0,technical,low,Yes
197,0.27,0.54,7,278,3,0,0,technical,low,Yes
198,0.1,0.91,6,287,4,0,0,technical,low,Yes
199,0.1,0.89,7,285,4,0,0,technical,low,Yes
200,0.77,0.94,5,226,6,0,0,support,low,Yes
201,0.9,0.82,5,259,5,0,0,support,low,Yes
202,0.39,0.5,2,135,3,0,0,support,low,Yes
203,0.76,1,5,219,5,0,0,support,low,Yes
204,0.1,0.93,6,256,4,0,0,support,low,Yes
205,0.87,0.9,5,254,6,0,0,support,low,Yes
206,0.38,0.5,2,153,3,0,0,support,low,Yes
207,0.77,0.99,5,228,5,0,0,support,low,Yes
208,0.78,0.87,4,228,5,0,0,support,low,Yes
209,0.44,0.5,2,128,3,0,0,support,low,Yes
210,0.38,0.52,2,153,3,0,0,support,low,Yes
211,0.43,0.46,2,156,3,0,0,technical,low,Yes
212,0.39,0.5,4,294,3,0,0,technical,low,Yes
213,0.88,1,5,219,5,0,0,technical,low,Yes
214,0.45,0.46,2,153,3,0,0,management,low,Yes
215,0.4,0.53,2,151,3,0,0,IT,low,Yes
216,0.36,0.51,2,155,3,0,0,IT,low,Yes
217,0.36,0.48,2,158,3,0,0,IT,low,Yes
218,0.9,0.98,5,245,5,0,0,IT,low,Yes
219,0.43,0.53,2,131,3,0,0,IT,low,Yes
220,0.89,0.87,5,225,5,0,0,product_mng,low,Yes
221,0.1,0.84,6,286,4,0,0,product_mng,low,Yes
222,0.37,0.5,2,135,3,0,0,product_mng,low,Yes
223,0.37,0.51,2,153,3,0,0,product_mng,low,Yes
224,0.87,0.9,5,252,5,0,0,IT,low,Yes
225,0.4,0.56,2,149,3,0,0,accounting,low,Yes
226,0.9,0.97,4,258,5,0,0,accounting,low,Yes
227,0.37,0.46,2,158,3,0,0,hr,low,Yes
228,0.44,0.54,2,149,3,0,0,hr,low,Yes
229,0.85,0.95,5,236,5,0,0,hr,low,Yes
230,0.78,0.98,5,239,6,0,0,marketing,low,Yes
231,0.42,0.47,2,159,3,0,0,marketing,low,Yes
232,0.92,0.99,5,255,6,0,0,sales,low,Yes
233,0.11,0.83,6,244,4,0,0,accounting,low,Yes
234,0.42,0.56,2,134,3,0,0,support,low,Yes
235,0.48,0.57,4,270,4,0,0,technical,low,Yes
236,0.83,0.85,4,255,5,0,0,management,low,Yes
237,0.4,0.53,2,151,3,0,0,marketing,low,Yes
238,0.43,0.45,2,135,3,0,0,marketing,low,Yes
239,0.43,0.53,2,146,3,0,0,marketing,low,Yes
240,0.1,0.97,7,254,4,0,0,sales,low,Yes
241,0.1,0.87,7,289,4,0,0,sales,low,Yes
242,0.37,0.46,2,156,3,0,0,sales,low,Yes
243,0.38,0.53,2,156,3,0,0,sales,low,Yes
244,0.4,0.5,2,128,3,0,0,sales,low,Yes
245,0.89,0.86,5,275,5,0,0,sales,low,Yes
246,0.45,0.46,2,155,3,0,0,sales,low,Yes
247,0.37,0.48,2,159,3,0,0,sales,low,Yes
248,0.46,0.49,2,148,3,0,0,sales,low,Yes
249,0.87,0.91,4,228,5,0,0,sales,low,Yes
250,0.11,0.84,6,298,4,0,0,sales,low,Yes
251,0.79,0.87,5,261,5,0,0,sales,low,Yes
252,0.79,0.92,5,254,6,0,0,sales,low,Yes
253,0.19,0.59,7,192,3,0,0,sales,low,Yes
254,0.87,0.98,4,248,5,0,0,sales,low,Yes
255,0.6,0.92,2,258,5,0,0,sales,low,Yes
256,0.44,0.45,2,156,3,0,0,sales,medium,Yes
257,0.11,0.81,6,266,4,1,0,sales,medium,Yes
258,0.42,0.54,2,156,3,0,0,sales,medium,Yes
259,0.88,0.88,5,232,5,1,0,accounting,medium,Yes
260,0.11,0.84,6,287,4,0,0,accounting,medium,Yes
261,0.46,0.46,2,154,3,0,0,accounting,medium,Yes
262,0.82,0.97,5,263,5,0,0,hr,medium,Yes
263,0.44,0.56,2,131,3,0,0,hr,medium,Yes
264,0.11,0.78,6,260,4,0,0,hr,medium,Yes
265,0.42,0.5,2,139,3,0,0,hr,medium,Yes
266,0.84,0.93,4,251,5,0,0,technical,medium,Yes
267,0.11,0.95,6,286,4,0,0,technical,medium,Yes
268,0.45,0.53,2,129,3,0,0,technical,high,Yes
269,0.38,0.56,2,156,3,0,0,technical,low,Yes
270,0.38,0.86,6,139,6,0,0,technical,medium,Yes
271,0.44,0.51,2,127,3,0,0,technical,medium,Yes
272,0.11,0.84,6,251,4,0,0,technical,medium,Yes
273,0.81,0.93,5,270,5,0,0,technical,medium,Yes
274,0.09,0.96,6,296,4,0,0,technical,low,Yes
275,0.11,0.9,6,254,4,0,0,technical,low,Yes
276,0.81,0.95,5,238,6,0,0,technical,low,Yes
277,0.1,0.97,6,267,4,1,0,support,low,Yes
278,0.74,0.89,5,229,6,0,0,support,low,Yes
279,0.09,0.78,6,254,4,0,0,support,low,Yes
280,0.82,0.81,4,233,4,1,0,support,low,Yes
281,0.1,0.98,6,268,4,0,0,support,low,Yes
282,0.27,0.56,3,301,3,0,0,support,low,Yes
283,0.83,0.92,5,267,6,0,0,support,low,Yes
284,0.1,0.93,6,289,4,1,0,support,low,Yes
285,0.38,0.47,2,144,3,0,0,support,low,Yes
286,0.4,0.56,2,148,3,0,0,support,low,Yes
287,0.11,0.83,6,306,4,0,0,support,low,Yes
288,0.11,0.79,6,292,4,0,1,technical,low,Yes
289,0.82,0.91,5,232,5,0,0,technical,low,Yes
290,0.36,0.48,2,137,3,0,0,technical,low,Yes
291,0.4,0.46,2,128,3,0,0,management,low,Yes
292,0.87,0.84,5,231,5,0,0,IT,low,Yes
293,0.41,0.49,2,146,3,0,0,IT,low,Yes
294,0.11,0.91,6,308,4,1,0,IT,low,Yes
295,0.1,0.93,6,253,4,0,0,IT,medium,Yes
296,0.38,0.51,2,146,3,0,0,IT,medium,Yes
297,0.39,0.55,2,156,3,0,0,product_mng,medium,Yes
298,0.4,0.52,2,147,3,0,0,product_mng,medium,Yes
299,0.45,0.48,2,136,3,0,0,product_mng,medium,Yes
300,0.74,0.84,5,249,5,0,0,product_mng,medium,Yes
301,0.45,0.55,2,151,3,0,0,IT,medium,Yes
302,0.12,1,3,278,4,0,0,RandD,medium,Yes
303,0.1,0.77,7,250,5,0,0,RandD,medium,Yes
304,0.37,0.55,2,127,3,0,0,RandD,medium,Yes
305,0.89,0.87,5,255,5,0,0,RandD,medium,Yes
306,0.45,0.47,2,135,3,0,0,RandD,medium,Yes
307,0.37,0.46,2,149,3,0,0,marketing,high,Yes
308,0.11,0.81,5,287,4,0,0,sales,low,Yes
309,0.41,0.48,2,145,3,0,0,accounting,medium,Yes
310,0.1,0.94,6,285,4,0,0,support,medium,Yes
311,0.1,0.93,7,305,4,0,0,technical,medium,Yes
312,0.11,0.95,7,300,4,0,0,management,medium,Yes
313,0.4,0.54,2,139,3,0,0,marketing,low,Yes
314,0.41,0.49,2,130,3,0,0,marketing,low,Yes
315,0.1,0.81,6,268,4,0,0,marketing,low,Yes
316,0.73,0.86,4,245,6,0,0,sales,low,Yes
317,0.43,0.47,2,135,3,0,0,sales,low,Yes
318,0.37,0.46,2,153,3,0,0,sales,low,Yes
319,0.11,0.94,6,276,4,0,0,sales,low,Yes
320,0.4,0.46,2,130,3,0,0,sales,low,Yes
321,0.41,0.54,2,153,3,1,0,sales,low,Yes
322,0.82,0.84,5,244,5,0,0,sales,low,Yes
323,0.61,0.47,2,253,3,0,0,sales,low,Yes
324,0.11,0.91,7,287,4,0,0,sales,low,Yes
325,0.37,0.45,2,131,3,0,0,sales,low,Yes
326,0.41,0.52,2,135,3,0,0,sales,low,Yes
327,0.37,0.52,2,157,3,0,0,sales,low,Yes
328,0.88,0.99,5,262,6,0,0,sales,low,Yes
329,0.1,0.85,6,266,4,0,0,sales,low,Yes
330,0.44,0.48,2,148,3,0,0,sales,low,Yes
331,0.38,0.57,2,140,3,0,0,sales,low,Yes
332,0.11,0.85,7,302,4,0,0,sales,low,Yes
333,0.09,0.98,6,271,4,0,0,sales,low,Yes
334,0.45,0.52,2,145,3,0,0,sales,medium,Yes
335,0.1,0.81,6,290,4,0,0,accounting,medium,Yes
336,0.45,0.47,2,151,3,0,0,accounting,medium,Yes
337,0.77,0.87,5,266,5,0,0,accounting,medium,Yes
338,0.44,0.51,2,140,3,0,0,hr,medium,Yes
339,0.39,0.5,2,142,3,0,0,hr,medium,Yes
340,0.1,0.91,6,246,4,0,0,hr,medium,Yes
341,0.09,0.89,7,308,5,0,0,hr,medium,Yes
342,0.37,0.47,2,141,3,0,0,technical,medium,Yes
343,0.9,1,5,232,5,0,0,technical,medium,Yes
344,0.41,0.56,2,143,3,0,0,technical,medium,Yes
345,0.37,0.52,2,155,3,0,0,technical,medium,Yes
346,0.1,0.86,6,278,4,0,0,technical,high,Yes
347,0.81,1,4,253,5,0,0,technical,low,Yes
348,0.11,0.8,6,282,4,0,0,technical,medium,Yes
349,0.11,0.84,7,264,4,0,0,technical,medium,Yes
350,0.4,0.46,2,149,3,0,0,technical,medium,Yes
351,0.09,0.8,6,304,5,0,0,technical,medium,Yes
352,0.48,0.93,3,219,6,0,0,technical,low,Yes
353,0.91,0.91,4,262,6,0,0,support,low,Yes
354,0.43,0.57,2,135,3,0,0,support,low,Yes
355,0.33,0.88,6,219,5,0,0,support,low,Yes
356,0.41,0.57,2,136,3,0,0,support,low,Yes
357,0.41,0.55,2,154,3,0,0,support,low,Yes
358,0.37,0.54,2,149,3,0,0,support,low,Yes
359,0.31,0.62,6,135,5,0,0,support,low,Yes
360,0.09,0.91,6,275,4,0,0,support,low,Yes
361,0.1,0.87,6,290,4,0,0,support,low,Yes
362,0.76,0.9,4,263,5,0,0,support,low,Yes
363,0.41,0.54,2,145,3,0,0,support,low,Yes
364,0.72,0.96,5,267,5,0,0,technical,low,Yes
365,0.4,0.5,2,141,3,1,0,technical,low,Yes
366,0.91,0.87,4,235,5,0,0,technical,low,Yes
367,0.1,0.83,6,258,4,0,0,management,low,Yes
368,0.4,0.56,2,131,3,0,0,IT,low,Yes
369,0.82,0.86,5,243,5,0,0,IT,low,Yes
370,0.1,0.82,6,266,4,0,0,IT,low,Yes
371,0.37,0.45,2,142,3,0,0,IT,low,Yes
372,0.36,0.51,2,135,3,0,0,IT,low,Yes
373,0.39,0.48,2,141,3,0,0,product_mng,medium,Yes
374,0.36,0.57,2,142,3,0,0,product_mng,medium,Yes
375,0.86,0.84,5,254,5,0,0,product_mng,medium,Yes
376,0.73,0.99,5,262,5,0,0,product_mng,medium,Yes
377,0.56,0.71,4,296,2,0,0,IT,medium,Yes
378,0.44,0.56,2,158,3,0,0,accounting,medium,Yes
379,0.31,0.56,4,238,2,0,0,accounting,medium,Yes
380,0.77,0.93,4,231,5,0,0,hr,medium,Yes
381,0.44,0.45,2,156,3,0,0,hr,medium,Yes
382,0.38,0.46,2,145,3,0,0,hr,medium,Yes
383,0.45,0.48,2,144,3,0,0,marketing,medium,Yes
384,0.38,0.51,2,159,3,0,0,sales,medium,Yes
385,0.36,0.48,2,156,3,0,0,accounting,high,Yes
386,0.75,0.9,5,256,5,0,0,support,low,Yes
387,0.1,0.93,6,298,4,0,0,technical,medium,Yes
388,0.1,0.97,6,247,4,0,0,management,medium,Yes
389,0.45,0.5,2,157,3,0,0,marketing,medium,Yes
390,0.42,0.57,2,154,3,1,0,marketing,medium,Yes
391,0.78,1,4,253,5,0,0,marketing,low,Yes
392,0.45,0.55,2,148,3,0,0,sales,low,Yes
393,0.84,1,4,261,5,0,0,sales,low,Yes
394,0.11,0.93,6,282,4,0,0,sales,low,Yes
395,0.42,0.56,2,133,3,0,0,sales,low,Yes
396,0.45,0.46,2,128,3,0,0,sales,low,Yes
397,0.46,0.57,2,139,3,0,0,sales,low,Yes
398,0.09,0.79,6,293,5,0,0,sales,low,Yes
399,0.87,0.83,4,265,6,0,0,sales,low,Yes
400,0.1,0.87,6,250,4,0,0,sales,low,Yes
401,0.91,1,5,251,6,0,0,sales,low,Yes
402,0.76,0.92,4,246,5,0,0,sales,low,Yes
403,0.74,1,5,275,5,0,0,sales,low,Yes
404,0.92,0.93,5,240,5,0,0,sales,low,Yes
405,0.76,0.87,5,245,5,0,0,sales,low,Yes
406,0.47,0.5,4,254,4,0,0,sales,low,Yes
407,0.73,0.99,5,241,5,0,0,sales,low,Yes
408,0.09,0.94,6,257,4,0,0,sales,low,Yes
409,0.91,0.92,4,246,5,0,0,sales,low,Yes
410,0.82,0.98,4,233,5,0,0,sales,low,Yes
411,0.28,0.45,6,218,4,0,0,accounting,low,Yes
412,0.84,0.99,4,262,6,0,0,accounting,medium,Yes
413,0.45,0.53,2,138,3,0,0,accounting,medium,Yes
414,0.45,0.54,2,142,3,0,0,hr,medium,Yes
415,0.91,0.97,5,233,5,0,0,hr,medium,Yes
416,0.42,0.48,2,155,3,0,0,hr,medium,Yes
417,0.82,1,4,229,6,0,0,hr,medium,Yes
418,0.11,0.9,6,264,4,0,0,technical,medium,Yes
419,0.42,0.53,3,199,4,0,0,technical,medium,Yes
420,0.82,0.85,4,223,5,0,0,technical,medium,Yes
421,0.09,0.96,6,268,4,0,0,technical,medium,Yes
422,0.1,0.94,6,287,4,0,0,technical,medium,Yes
423,0.86,1,5,257,5,0,0,technical,medium,Yes
424,0.4,0.46,2,143,3,0,0,technical,high,Yes
425,0.45,0.46,2,130,3,0,0,technical,low,Yes
426,0.42,0.51,2,136,3,0,0,technical,medium,Yes
427,0.74,0.92,4,261,5,0,0,technical,medium,Yes
428,0.55,0.6,3,180,4,0,0,technical,medium,Yes
429,0.37,0.45,2,126,3,0,0,support,medium,Yes
430,0.41,0.52,2,127,3,1,0,support,low,Yes
431,0.89,0.65,5,195,6,0,0,support,low,Yes
432,0.41,0.57,2,160,3,0,0,support,low,Yes
433,0.44,0.51,2,150,3,0,0,support,low,Yes
434,0.87,0.84,4,264,6,0,0,support,low,Yes
435,0.1,0.84,6,309,4,0,0,support,low,Yes
436,0.41,0.47,2,135,3,0,0,support,low,Yes
437,0.11,0.85,6,261,4,0,0,support,low,Yes
438,0.43,0.53,2,160,3,0,0,support,low,Yes
439,0.77,0.9,4,237,5,0,0,support,low,Yes
440,0.41,0.52,2,136,3,0,0,technical,low,Yes
441,0.41,0.48,2,139,3,0,0,technical,low,Yes
442,0.36,0.78,2,151,4,0,0,technical,low,Yes
443,0.77,1,5,229,5,0,0,management,low,Yes
444,0.81,0.98,5,245,5,0,0,IT,low,Yes
445,0.39,0.54,2,127,3,0,0,IT,low,Yes
446,0.09,0.94,6,283,5,0,0,IT,low,Yes
447,0.44,0.46,2,143,3,0,0,IT,low,Yes
448,0.1,0.84,5,298,4,0,0,IT,low,Yes
449,0.36,0.48,2,159,3,0,0,product_mng,low,Yes
450,0.81,0.92,5,239,5,0,0,product_mng,low,Yes
451,0.81,0.9,4,226,5,0,0,product_mng,medium,Yes
452,0.85,0.98,5,248,5,0,0,product_mng,medium,Yes
453,0.1,0.87,6,286,4,0,0,IT,medium,Yes
454,0.37,0.54,2,145,3,0,0,RandD,medium,Yes
455,0.09,0.97,7,254,4,1,0,RandD,medium,Yes
456,0.44,0.53,2,127,3,0,0,RandD,medium,Yes
457,0.86,0.93,5,223,5,0,0,RandD,medium,Yes
458,0.77,1,4,255,5,0,0,RandD,medium,Yes
459,0.41,0.48,2,136,3,0,0,marketing,medium,Yes
460,0.4,0.48,2,137,3,0,0,sales,medium,Yes
461,0.43,0.49,2,135,3,0,0,accounting,medium,Yes
462,0.43,0.5,2,137,3,0,0,support,medium,Yes
463,0.8,0.53,3,255,5,0,0,technical,high,Yes
464,0.8,0.85,4,273,5,0,0,management,low,Yes
465,0.82,0.98,5,234,5,0,0,marketing,medium,Yes
466,0.37,0.54,2,152,3,0,0,marketing,medium,Yes
467,0.37,0.48,2,134,3,0,0,marketing,medium,Yes
468,0.09,0.95,6,292,4,0,0,sales,medium,Yes
469,0.9,0.92,5,245,5,0,0,sales,low,Yes
470,0.41,0.52,2,159,3,0,0,sales,low,Yes
471,0.1,0.85,6,260,4,0,0,sales,low,Yes
472,0.44,0.53,2,149,3,0,0,sales,low,Yes
473,0.89,0.85,5,266,5,0,0,sales,low,Yes
